Text,Category
இந்திய இரும்புத் திரைகளால் மறைக்கப்பட்டுள்ள காஷ்மீர்… வைரல் புகைப்படம் உண்மையா,Misleading
கரோனா வைரஸ் தொற்றால் உயிரிழந்த புனே டாக்டர் மேகா வைரல் வதந்தி…,Clickbait
மருத்துவமனைகளில் ஜோதிடரை நியமிக்க உத்தரப் பிரதேச அரசு திட்டம் உண்மை அறிவோம்,Misleading
பாலிசி கட்ட முடியாதவர்களுக்கு பணத்தை திருப்பி தரும்படி இன்சூரன்ஸ் நிறுவனங்களுக்கு ஐஆர்டிஏ உத்தரவு,Clickbait
ஆசிபா கொலை வழக்குக் குற்றவாளிகள் 8 பேர் விடுதலை பேஸ்புக் பதிவால் பரபரப்பு,Misleading
இலங்கையில் உள்ள ராவணன் கோட்டையின் புகைப்படமா இது,Clickbait
பின்லாந்து அருகே கலாநிதி மாறனின் உல்லாச தீவு உள்ளதா,Misleading
அடுத்த உலக கோப்பை அணியில் தோனி இணையதள செய்தியால் ரசிகர்கள் குழப்பம்,Clickbait
ஜெயலலிதா காலில் விழுந்தார் ப.சிதம்பரம் பேஸ்புக் புகைப்படம் உண்மையா,Misleading
கோட்சே சிலைக்கு மாலை அணிவித்து மரியாதை செலுத்தினாரா மோடி,Clickbait
திமுகவின் பர்மா கிளை பற்றி பகிரப்படும் தவறான தகவல்,Misleading
திருப்பதி தேவஸ்தான தலைவர் ஒரு கிறிஸ்தவர் விஷம பிரசாரம் செய்யும் பேஸ்புக் பதிவர்கள்,Clickbait
மகாராஷ்டிராவில் போர் போடும்போது வந்த எரிமலைக் குழம்பு வைரல் வீடியோவால் பரபரப்பு,Misleading
திருமுருகன் காந்தி இந்துக்களை விமர்சித்தாரா அவரது பேச்சை திரித்து பகிரப்படும் தகவல்,Clickbait
ஈத் பண்டிகை தொடர்பாக பில்கேட்ஸ் வெளியிட்ட ட்வீட் உண்மையா,Misleading
நீ என்ன பத்தினியா என்று கஸ்தூரியை பார்த்து லதா கேட்டாரா,Clickbait
அதானி மனைவியை வணங்கிய மோடி  பேஸ்புக் படம் சொல்லும் கதை உண்மையா,Misleading
மோடிக்கு வாக்களிக்க வெளிநாடுகளில் இருந்து நாடு திரும்பிய இந்தியர்கள்,Clickbait
மோடி உருவ பொம்மையை எரிக்கும் வெளிநாட்டினர் பேஸ்புக் தகவல் உண்மையா,Misleading
துபாய் பற்றி தெரியாத 10 அதிர்ச்சி உண்மைகள் குழப்பம் ஏற்படுத்தும் பேஸ்புக் வீடியோ,Clickbait
ஒரே பிரசவத்தில் 17 குழந்தைகளைப் பெற்ற பெண் உலக சாதனையா  வெறும் வதந்தியா,Misleading
இலங்கையில் அனுமானின் மிகப்பெரிய கதாயுதம் கண்டுபிடிக்கப்பட்டதா,Clickbait
உத்தரப் பிரதேசத்தில் ரூ.500 வாங்கிக்கொண்டு கல் வீசிய முதியவர்,Misleading
தேர்தல் நியாயமாக நடைபெற்றால் பாஜக 40 தொகுதிகளைக் கூட தாண்டாது அஜய் அகர்வால் சொன்னது என்ன,Clickbait
உணவு கொடுத்ததால் ஜோதிமணியை ஆதரிக்கிறேன் என்று சுப வீரபாண்டியன் சொன்னாரா,Misleading
பிரதமர் மோடி அரசுப் பணத்தை தவறாக பயன்படுத்தினாரா,Clickbait
கனிமொழியின் உண்மையான தந்தை நடிகர் செந்தாமரை விஷமத்தனமான பேஸ்புக் பதிவு,Misleading
ராஜஸ்தானில் உள்ள ஒரு விவசாயி கையிறால் கட்டப்பட்டு கைது செய்யப்பட்டு பொது இடத்தில் அடிக்கப்படுகிறார் உண்மையா அல்லது பொய்யா,Clickbait
கையிருப்பு தங்கத்தை விற்கும் ரிவர்வ் வங்கி தீயாகப் பரவும் வதந்தி,Misleading
சசிகலா குடும்பத்தினரை பார்த்ததே கிடையாது எடப்பாடி பழனிசாமி பேச்சு,Clickbait
மோடியின் மேக்அப் ஊழியருக்கு ரூ.15 லட்சம் சம்பளமா விடாமல் தொடரும் வதந்தி,Misleading
திமுக ஆட்சிக்கு வந்தால் பாகிஸ்தான் போல தமிழ்நாடு மாறிவிடும் என்று உலக அமைதிக்கான அமைப்பு அறிவித்ததா,Clickbait
கைக்குழந்தை உடன் ரயில் பெட்டிகள் இடையே பயணிக்கும் பெண் வீடியோ உண்மையா,Misleading
சிறுபான்மையினர் தலித் ஓட்டுகள் வேண்டாம் என்று ராஜேந்திர பாலாஜி பேசினாரா,Clickbait
சூர்யா கேள்வி கேட்க இந்திய குடிமகன் என்ற தகுதி போதும் என்று மயில்சாமி அண்ணாதுரை சொன்னாரா,Misleading
கேரளாவில் விவசாயிகளாக மாறிய பொறியியல் படித்த மாணவர்கள் பேஸ்புக் வதந்தி,Clickbait
மயிலாடுதுறை நாடாளுமன்ற உறுப்பினர் ப.ரங்கநாதனா  குழம்பிய விகடன்,Misleading
கொரோனா நிவாரண நிதியாக மத்திய அரசு ரூ.5000 தருகிறதா வாட்ஸ்ஆப் வதந்தி,Clickbait
ஓபிஎஸ் பிறப்பு சான்றிதழ் வெளியிட வேண்டும் என்று ராமதாஸ் கேட்டாரா,Misleading
வ.உ.சிதம்பரனாருக்கு அஞ்சலி செலுத்திய மோடி புகைப்படம் உண்மையா,Clickbait
வி.பி.துரைசாமி பற்றி கி.வீரமணி சொன்னதாகப் பரவும் போலியான ட்வீட்,Misleading
மசூதிக்குள் சாராய ஊரல் போட்ட இஸ்லாமியர்கள் பேஸ்புக் விஷமம்,Clickbait
எடப்பாடி பழனிசாமியை பின்பற்றி மு.க.ஸ்டாலின் வயலில் நாற்று நடச் சென்றாரா,Misleading
சிவன் கோவிலுக்கு சொந்தமான இடத்தில் செயல்படும் லயோலா கல்லூரி,Clickbait
திருச்சி கோவிலில் மொபைல் விண்வெளி வீரர் சிற்பம் பேஸ்புக் பதிவு உண்மையா,Misleading
பேக்ட் கிரஸண்டோ பெயரில் வெளியான போலி உண்மை கண்டறியும் அறிக்கை,Clickbait
கொரோனா வைரஸ் பற்றி யுனிசெப் முன்னெச்சரிக்கை டிப்ஸ் எதுவும் வெளியிட்டுள்ளதா,Misleading
இயக்குனர் சுந்தரராஜன் மரணம் என்று பகிரப்படும் வதந்தியால் பரபரப்பு,Clickbait
நெதர்லாந்தில் 5ஜி சோதனையால் 297 குருவிகள் உயிரிழந்தனவா,Misleading
வைகோவுக்கு மரண அடி கொடுத்த வெங்கையா நாயுடு,Clickbait
பெற்றோர் பணத்தை திருடி நாம் தமிழர் கட்சிக்கு கொடுத்த இளைஞர் உண்மை அறிவோம்,Misleading
கொரோனா வைரஸ் கருணாநிதி சமாதியில் யாகம் நடத்தப்பட்டதா,Clickbait
மாட்டுக்கறி ஏற்றுமதியில் இந்தியா முதலிடம் என்று பிரதமர் மோடி சொன்னாரா பேஸ்புக் வீடியோவால் பரபரப்பு,Misleading
சூரியனில் இருந்து வெளிவரும் ஓம் சத்தம் வைரல் வீடியோ உண்மையா,Clickbait
யானை சின்னத்தில் அழுத்தினால் தாமரை சின்னத்திற்கு ஓட்டு பதிவானது வைரல் வீடியோ,Misleading
ஆஸ்திரேலியாவில் வனப்பகுதியில் பரிதவிக்கும் கோலா கரடிக் குட்டிகளுக்கு நரி பாலூட்டியதா,Clickbait
அர்விந்த் கெஜ்ரிவால் பேசியதற்கும் தமிழ்நாடு வேலை தமிழருக்கே என்பதற்கும் என்ன தொடர்பு,Misleading
சீனாவை எதிர்த்து இந்திய ராணுவத்துடன் இணைந்த இஸ்ரேல் ராணுவம் பேஸ்புக் வதந்தி,Clickbait
கல்விக் கொள்கை வரைவை முழுவதும் படிக்காமல் எப்படி கருத்து சொல்வது என்று ஷங்கர் சொன்னாரா,Misleading
நடிகர் விஜய் வீட்டில் பணம் மற்றும் நகைகள் கைப்பற்றப்பட்டதா பேஸ்புக் வதந்தி,Misleading
கன்னியாகுமரியில் நடந்த சிஏஏவுக்கு எதிரான பேரணியின் படமா இது,Misleading
நேருவை கன்னத்தில் அறைந்த வித்யானந்த் விதேவ் பேஸ்புக் பதிவு உண்மையா,Misleading
2 மாதம் மலம் கழிக்காமல் இருந்த பெண் உயிரிழப்பு பழைய செய்தியால் திடீர் பரபரப்பு,Misleading
இனி கைலாஷ் யாத்திரை செல்ல சீனாவின் அனுமதி தேவையில்லை பேஸ்புக்கில் பரவும் உளறல்,Misleading
நிர்மலா தேவி விவகாரத்தில் ஸ்டாலின் தமிழன் பிரசன்னாவுக்குத் தொடர்பா பேஸ்புக் விஷமம்,Misleading
செவிலியரை இஸ்லாமியர் காலில் விழ வைத்த ஆந்திர எம்.எல்.ஏ  boldsky செய்தி உண்மையா கதையா,Misleading
மசாஜ் செய்துகொண்ட பெண்ணை நேரலையில் பார்த்து ரசிக்கும் இளைஞன்,Misleading
எச்.ராஜா மகள் திருமணத்தில் ஆபாச புகைப்படத்தை பரிசளித்தாரா அர்ஜூன் சம்பத்,Misleading
சுவிட்சர்லாந்து கொடியை எரித்து இஸ்லாமியர்கள் போராட்டம் பரபர பேஸ்புக் பதிவு,Misleading
செல்லூர் ராஜூ திறந்து வைத்த ரவுண்டானாவில் ஓட்டை வைரல் புகைப்படம் உண்மையா,Misleading
பச்சை பட்டாணிக்கு பச்சை நிறம் சேர்க்கப்படும் வீடியோ உண்மை என்ன,Misleading
நகை திருடனை சந்தித்து நன்றி சொன்னாரா லலிதா ஜூவல்லரி உரிமையாளர்,Misleading
தமிழக அரசுப் பணிகளில் பிற மாநிலத்தவர்கள் சேர சட்ட திருத்தம் செய்யப்பட்டதா,Misleading
குழந்தையின் உடலில் மின்சாரம்  அதிசயிக்க வைத்த பேஸ்புக் செய்தி,Misleading
சற்றுமுன் நடந்த சம்பவம்  உதவி தேவை பீதியை கிளப்பும் வைரல் வீடியோ,Misleading
திருட்டு காவலாளி மோடி தவறான பிரசாரம்,Misleading
அதிமுக கோமாளிகளுக்கா உங்கள் ஓட்டு பிரேமலதா பேசியதன் உண்மை விவரம்,Misleading
கோவையில் முகாம் அமைத்து பயிற்சியில் ஈடுபடுகிறார் அஜித் பில்டப் தரும் பேஸ்புக் செய்தி,Misleading
குதிரையில் அமர்ந்திருக்கும் வீரர் சிலைகள் பற்றி கூறப்படும் தகவல்கள் உண்மையா,Misleading
காரப்பன் சில்க்ஸ் உடை மாற்றும் அறையில் ரகசிய கேமரா பேஸ்புக் வதந்தி,Misleading
காந்தியை கோட்சே சுட்டுக் கொன்றபோது எடுத்த புகைப்படம் இதுவா,Clickbait
இந்த சிறுமியை நேற்று முதல் காணவில்லை பல மாதங்களாக பகிரப்படும் புகைப்படம்,Clickbait
கொரோனா ஊரடங்கு  இந்த வயதான நபர் நடந்தே சொந்த ஊர் செல்கிறாரா,Clickbait
தமிழகத்தில் 1248 அரசு பள்ளிகள் மூடப்படும் செங்கோட்டையன் கூறியதாக பரவும் தகவல் உண்மையா,Clickbait
சீனாவில் உள்ள இந்து கோவில்களை செப்பனிட ஜின்பிங் உத்தரவு,Clickbait
பிரிட்டிஷார் இந்தியாவை விட்டுச் சென்ற கடைசி கப்பலின் புகைப்படம் இதுவா,Clickbait
கூடங்குளம் அணுக்கழிவு மையத்துக்கு தி.மு.க ஆதரவா,Clickbait
கோமாதா சங்கு காட்டினால் மாடு தானாகப் பால் சுரக்குமா,Clickbait
தமிழகத்தில் ஹைட்ரோ கார்பன் எடுக்க திமுக ஆட்சியில் அனுமதி தரப்பட்டதா,Misleading
தமிழகத்தில் எந்த ஜாதி மக்கள் அதிகம் வசிக்கின்றனர் விஷமத்தனமான பேஸ்புக் பதிவு,Clickbait
இரண்டே நிமிடத்தில் பல் வெள்ளையாகுமா  வைரல் வீடியோ,Misleading
சவூதி அரசர் சல்மான் காலில் விழுந்தாரா மோடி,Clickbait
உ.பி.யில் இரண்டு மாதங்களில் 729 கொலை 800 பாலியல் வன்கொடுமை நிகழ்ந்துள்ளதா,Misleading
இங்கிலாந்து கிரிக்கெட் வீரர் இயான் மோர்கன் தமிழனா,Clickbait
திருப்பூரில் குழந்தை கடத்தில் ஈடுபட்ட கும்பல் கைது பதற்றத்தை ஏற்படுத்திய பேஸ்புக் பதிவு,Misleading
தடுப்பூசி உடல் நலத்துக்கு கேடா பகீர் பேஸ்புக் பதிவு,Clickbait
லதா மங்கேஷ்கருக்கு கண்ணீர் அஞ்சலி பதிவிட்ட பேஸ்புக் பதிவர்கள்,Misleading
சபரிமலை 18ம் படிக்குக் கீழ் வெள்ளப்பெருக்கு பேஸ்புக்கில் பரவும் வீடியோ,Clickbait
நெல்லை கண்ணன் தலைமறைவாக உள்ளாரா,Misleading
சிதம்பரத்தில் திமுக வன்னியர்கள் எனக்கு ஓட்டுப் போட வேண்டாம் என்று திருமாவளவன் சொன்னாரா,Clickbait
ஒரே பிரசவத்தில் 19 குழந்தைகள் பேஸ்புக் வைரல் பதிவு உண்மையா,Misleading
டூரிஸ்ட் கைடாக இருந்தவர் மோடி பேஸ்புக் செய்தியின் உண்மை அறிவோம்,Clickbait
சிஏஏக்கு எதிராக பேசிய மடாதிபதி  கோபம் அடைந்த கர்நாடக முதல்வர் உண்மை என்ன,Misleading
தமிழகத்தின் இரண்டாவது பெண் ஐ.பி.எஸ் அதிகாரி சுஜிதாவா,Clickbait
தண்ணீரில் வெண்ணெய் எடுக்கும் மோடி பேஸ்புக் செய்தியின் உண்மை அறிவோம்,Misleading
தன்னுடைய உதவியாளர் கொலை வழக்கில் ஸ்மிருதி இரானிக்கு தொடர்பா,Clickbait
தெலுங்கானாவை தெறிக்கவிட்ட தமிழிசை பரபரப்பை ஏற்படுத்திய ஏஷியாநெட் நியூஸ்,Misleading
அழகர் போல வேஷமிட்ட ஏசு பேஸ்புக் வைரல் புகைப்படம் உண்மையா,Clickbait
ரெய்டுக்கு பயந்து அண்ணா சமாதியில் தர்ம யுத்தம் நடத்திய எம்ஜிஆர் பேஸ்புக் வதந்தி,Misleading
ப.சிதம்பரம் கைது நிகழ்வை நேரலையில் பார்த்து ரசித்த மோடி,Clickbait
தமிழ் மொழியில் கனடா தேசிய கீதம் பேஸ்புக் பதிவு உண்மையா,Misleading
