Text,Translation,Category
சென்னை சாலையில் ஓட்டுநரின் தவறால் பிளாஸ்டிக் யானை நிறுத்தப்பட்டது!,Plastic elephant stopped in Chennai road due to driver's mistake!,Humor
அலுவலகத்தில் காகிதக் கிளைம்பிங்கில் வெற்றி பெற்ற பணி!,Employee wins in office paper-climbing contest!,Humor
பக்கத்து வீட்டுக்காரரின் சமையல் கலை: மூன்று கடைகளும் மூடப்பட்டன!,Neighbor's cooking skills: Three shops closed!,Humor
டெலிவரி பாய் நகைச்சுவை: உணவுடன் கூடிய சிரிப்பு!,Delivery boy's comedy: Laughter with the food!,Humor
ஆபீஸ் மீட்டிங்கில் நகைச்சுவையான பிரயாணம்: கோணல் மற்றும் காரிகள்!,Hilarious journey in office meeting: Corners and turns!,Humor
நாயின் பொது பேச்சு - மக்கள் ஆச்சரியத்தில்!,Dog's public speech - people in awe!,Humor
சேமிய புகை படத்தில் நடந்த நகைச்சுவை நிகழ்ச்சி!,Comedy event at the 'Save the Smoke' movie!,Humor
அப்பாவிற்கு மகனின் கணினி தில்லு - குடும்பத்தில் சிரிப்பு!,Father's confusion with son's computer - laughter in the family!,Humor
பள்ளி நாளில் நடந்த நகைச்சுவை சம்பவம் - ஆசிரியர்கள் சிரித்தார்கள்!,Comedy incident during school day - teachers laughed!,Humor
நண்பர்களின் வெள்ளிக்கிழமை இரவு காமெடி - முழு நகைச்சுவை!,Friends' Friday night comedy - full of laughter!,Humor
அப்பாவின் சமையல் கலை: குடும்பம் சாப்பிட்டு சிரித்தது!,Father's cooking skills: Family ate and laughed!,Humor
அலுவலகத்தில் நடந்த நகைச்சுவை போட்டி - சிரித்தவர்களுக்கு பரிசு!,Comedy contest at the office - prizes for those who laughed!,Humor
நண்பர்களின் காமெடி கலாட்டா - முழு வீடியோ வெளியீடு!,Friends' comedy chaos - full video released!,Humor
மனைவியின் புதிர்: கணவர் அதிர்ச்சியுடன் சிரித்தார்!,Wife's puzzle: Husband laughed in shock!,Humor
கூட்டம் முடிந்த பிறகு நடந்த காமெடி - அனைவரும் சிரித்தனர்!,Comedy after the meeting ended - everyone laughed!,Humor
அலுவலகத்தில் நகைச்சுவை விளையாட்டு - பாஸ் கூட சிரித்தார்!,Comedy game in the office - even the boss laughed!,Humor
சாப்பாடு நேரத்தில் நடந்த நகைச்சுவை நிகழ்வு - குடும்பம் சிரித்தது!,Comedy event during mealtime - family laughed!,Humor
நண்பர்களின் காமெடி கலாட்டா - முழு வீடியோ வெளியீடு!,Friends' comedy chaos - full video released!,Humor
அலுவலக கூட்டத்தில் நடந்த நகைச்சுவை நிகழ்ச்சி - எveryone laughed!,Comedy event at the office meeting - everyone laughed!,Humor
குடும்பத்தில் நடந்த காமெடி சம்பவம் - வீடியோ வைரல்!,Comedy incident in the family - video goes viral!,Humor
பாராளுமன்றம் உச்சநிலைக்கு சென்று சட்டம் நிறைவேற்றம்!,Parliament reaches peak and passes law!,Biased
எங்கள் கட்சி மட்டும் உண்மையான சேவகர்கள்!,Only our party has true servants!,Biased
எதிர்க்கட்சிகள் மீது வெளிப்படையான குற்றச்சாட்டுகள்!,Transparent allegations against opposition parties!,Biased
நமது கட்சி மட்டுமே மக்களுக்கு உண்மையான நலனில் செயல்படுகிறது!,Only our party works in true welfare of the people!,Biased
மற்ற கட்சிகள் சுயநல ஆதாயம் கொண்டவை!,Other parties have selfish motives!,Biased
எங்கள் கட்சி மட்டுமே நாட்டின் வளர்ச்சி திட்டங்களை நிறைவேற்றும்!,Only our party will fulfill national development plans!,Biased
நமது தலைவர் மட்டுமே மக்கள் பிரச்சனைகளை உணர்கிறார்!,Only our leader understands the people's problems!,Biased
மற்ற கட்சிகள் மக்களின் நம்பிக்கையை முழுமையாக இழந்துள்ளன!,Other parties have completely lost the people's trust!,Biased
எங்கள் கட்சி மட்டுமே நாட்டு நலனில் பங்குகொள்கிறது!,Only our party participates in the national welfare!,Biased
எதிர்க்கட்சிகள் நாட்டை அழிக்க திட்டமிட்டுள்ளன!,Opposition parties plan to destroy the country!,Biased
"சென்னை மாநகரில் பரவியுள்ள புதிய வைரஸ் - 'சோம்பல்-20', மக்கள் தூங்குவது திடீரென அதிகரித்துள்ளது.","A new virus spreading in Chennai - 'Laziness-20', people are suddenly sleeping more.",Humor
கல்வி அமைப்பு அறிவிப்பு: தேர்வுகளுக்கு பதிலாக இனி வீடியோ கேம்ஸ் போட்டிகள் நடத்தப்படும்.,Education board announcement: Video game competitions will replace exams.,Humor
பொதுத்துறை நிறுவனங்கள் புதிய உத்தரவு: வேலை நேரத்தில் மட்டும் வேலை செய்யாமல் இருக்கலாம்.,Public sector companies' new order: Employees can refrain from working only during work hours.,Humor
புதிய தொழில்நுட்பம்: இனி பேனாவில் மின்சாரக் கட்டணம் செலுத்தலாம்.,New technology: Now you can pay electricity bills with a pen.,Humor
மழைக்காலத்தில் வீட்டிலிருந்தே வேலை: மின்சாரக் கட்டணத்தை பாசிடிவ் எனர்ஜியால் குறைத்துவிடலாம்.,Work from home during the rainy season: Reduce electricity bill with positive energy.,Humor
புதிய அறிவிப்பு: இனிமேல் பாஜகவில் இணைய தெற்காசியாவில் பிறந்தால் மட்டுமே அனுமதி.,"New announcement: From now on, only those born in South Asia can join BJP.",Humor
புதிய போக்குவரத்து விதி: சைக்கிள் ஓட்டினால் உளுந்து வடை இலவசம்.,New traffic rule: Free vadai for riding a bicycle.,Humor
தொலைக்காட்சி சேனல்கள் புதிய நிபந்தனை: காலை செய்திகளை நகைச்சுவை நடிகர்கள் வாசிக்க வேண்டும்.,New condition for TV channels: Morning news must be read by comedians.,Humor
புதுப்புது புதிர்கள்: அரசு அலுவலகத்தில் காலையில் எழுந்து வேலை செய்தால் ஊதியம் உயர்வு.,New riddles: Salary increase if you wake up and work in the government office.,Humor
தினசரி நகைச்சுவை: மருந்தகங்களில் இனிமேல் நகைச்சுவை மாத்திரைகள் கிடைக்கும்.,Daily comedy: Comedy pills will now be available in pharmacies.,Humor
சமையல் கலை: புதிய சமையல் டிப்ஸ் - சாதம் சமைக்க மின்சார சக்கர பயன் படுத்தலாம்.,Cooking art: New cooking tips - use electric bikes to cook rice.,Humor
புதிய முறை: இனி விமானங்களில் குயினியர் கேம்ஸ் பார்த்தபடியே பயணம் செய்யலாம்.,New method: Now you can travel on planes while watching culinary games.,Humor
நகைச்சுவை அறிவிப்பு: தங்கம் வாங்கும் முன் நகைச்சுவை டாக்டரை சந்திக்க வேண்டும்.,Comedy announcement: Meet a comedy doctor before buying gold.,Humor
வீட்டுக் கண்காணிப்பு: இனி ரோபோ குப்பை எடுத்துச்செல்லும் சேவை அறிமுகம்.,Home monitoring: Robot garbage collection service introduced.,Humor
மீம்ஸ் யுகம்: அரசியல்வாதிகள் இனி மீம்ஸ் மூலம் அறிவிப்புகள் செய்வார்கள்.,Meme era: Politicians will now make announcements through memes.,Humor
குழந்தைகளுக்கு புதிய விளையாட்டு: இனி வீடுகளில் மட்டுமே ஓடும் பசுக்கள் வாங்கலாம்.,New game for kids: Now you can buy cows that only run inside houses.,Humor
இலவச இணையம்: மின்விசிறியை இயக்கும் அனைவருக்கும் இலவச இணையம்.,Free internet: Free internet for everyone who operates an electric fan.,Humor
புதிய பஸ்கள்: ஏசி பஸ்களில் இனி குளிர்ச்சி மட்டுமின்றி கொஞ்சம் பனி பொழியும்.,New buses: AC buses will now not only cool but also sprinkle some snow.,Humor
புதிய எக்சர்சைஸ்: யோகா செய்யும் பொழுது விளையாட்டு கையுறை அணிய வேண்டும்.,New exercise: Wear sports gloves while doing yoga.,Humor
நூற்றாண்டு கண்காட்சி: புத்தக கண்காட்சியில் தற்போது கேக் கட்டும் போட்டிகள்.,Century exhibition: Now cake-making competitions at book fairs.,Humor
புது வாழ்க்கை முறை: இனி பயணிகளுக்கு ரயில் நிலையத்தில் ஹோட்டல் அளவுகள்.,New lifestyle: Hotel-level amenities for passengers at train stations.,Humor
புத்தம் புதிய பயிற்சி முறை: மொபைல் விளையாட்டுகள் மூலம் உடற்பயிற்சி செய்யலாம்.,Brand new workout method: Exercise through mobile games.,Humor
இரவு நேர சேவை: இனி ஸ்டார்பக்ஸ் நம்ம வீட்டு அப்பளம் விற்கும்.,Night service: Starbucks will now sell home-style appalams.,Humor
நவீன திருமணம்: திருமண அலங்காரத்தில் இனி லேசர் காட்சிகள்.,Modern marriage: Laser shows in wedding decorations.,Humor
மொபைல் கண்காணிப்பு: கைபேசியில் உடனடி மன அழுத்தத்தை குறைக்கும் அலார்ம்.,Mobile monitoring: Instant stress-reducing alarm on mobile phones.,Humor
அசாதாரண அறிவிப்பு: புதுமையான காரில் பயணித்தால் இலவச எண்ணெய் பூர்த்தி.,Unusual announcement: Free oil refill for traveling in innovative cars.,Humor
"புது பாணி: இனி பிளாஸ்டிக் குமிழ்கள் சாப்பிடலாம், தண்ணீருடன் சாப்பிடலாம்.",New style: Now you can eat plastic bubbles with water.,Humor
வாழ்க்கை எளிமை: இனி தங்க கிண்ணத்தில் தான் தேநீர் பருக வேண்டும்.,"Life simplicity: From now on, tea must be sipped only in golden cups.",Humor
சமூக சேவை: பொது பூங்காக்களில் சுமா விளையாட்டு கருவிகள்.,Community service: Free play equipment in public parks.,Humor
புதிய விதிமுறைகள்: இனி கிரிக்கெட் போட்டிகளில் இன்ப்ளேட்டபிள் பந்து பயன்படுத்த வேண்டும்.,New rules: Use inflatable balls in cricket matches from now on.,Humor
நவீன தொழில்நுட்பம்: அலுவலகங்களில் இப்போது புதிய வகை குளிர்சாதன இயந்திரங்கள்.,Modern technology: New types of air conditioners in offices now.,Humor
மாற்றம்: இனி குளிர்ச்சியான நீர் பருகினால் அதிக வெப்பநிலை ஏற்படும்.,Change: Drinking cold water will now result in higher temperatures.,Humor
பொதுத்துறை விதிகள்: இனி அரசு அலுவலகங்களில் போட்டோகிராபர்கள் மட்டுமே நுழையலாம்.,Public sector rules: Only photographers can enter government offices from now on.,Humor
சமூக நலன்: இனி எலும்புகளை மென்டல் ஹெல்த் டாக்டரிடம் பரிசோதிக்கலாம்.,Social welfare: Bones can now be examined by mental health doctors.,Humor
புதிய அறிவிப்பு: உடல்நல மருத்துவர் பதில் தரவில்லை என்றால் டான்ஸர் பார்க்கலாம்.,New announcement: See a dancer if a physician doesn't respond.,Humor
பொது விதிமுறைகள்: இனி யோகா கற்றுக்கொள்ள மொபைல் செயலிகள்.,Public rules: Mobile apps to learn yoga from now on.,Humor
சமூக மாற்றம்: இனி கண்ணாடி இல்லாத வீடுகள் கட்டலாம்.,Social change: Build houses without mirrors from now on.,Humor
அசாதாரண அறிவிப்பு: எல்லா காலிலும் செருப்பு அணியலாம்.,Unusual announcement: You can wear shoes on all feet.,Humor
புது சமையல் முறை: சாதத்தை சாப்பிடும் முன் கவிதை எழுத வேண்டும்.,New cooking method: Write a poem before eating rice.,Humor
புதிய விதிகள்: காபி சாப்பிடும் முன் கலர்ஸ் பார்க்க வேண்டும்.,New rules: Look at colors before drinking coffee.,Humor
முற்றிலும் புதிய யுகம்: இனி செல்லப்பிராணிகளை வீட்டு வேலை செய்ய பயன்படுத்தலாம்.,Completely new era: Now use pets for household chores.,Humor
வித்தியாசமான உத்தரவு: பள்ளிகளுக்கு தினசரி முதுகலை வகுப்புகள்.,Different order: Daily postgraduate classes in schools.,Humor
வினோத அறிவிப்பு: பார்லமென்ட் கட்டிடத்தில் புதிய தண்ணீர் பூமிகள்.,Strange announcement: New water parks in the Parliament building.,Humor
சென்னை நகரில் இனி மின்சார விசிறிகள் வெயில் வெட்டும் திறன் கொண்டதாக மாற்றப்படும்.,Electric fans in Chennai will now be upgraded to cut through the heat.,Humor
புதிய அறிவிப்பு: இனிமேல் பள்ளிகளில் பீட்சா அட்டைகளில் கணிதம் கற்றுக் கொடுக்கப்படும்.,New announcement: Math will now be taught using pizza boxes in schools.,Humor
மழைக்காலத்தில் பொதுமக்களுக்கு மின்சார மழைக்குடைகள் வழங்கப்படும்.,Electric umbrellas will be provided to the public during the rainy season.,Humor
அலுவலகங்களில் இனி மின்சார சொறி சாதனங்கள் கட்டாயம்.,Electric broom devices are now mandatory in offices.,Humor
பள்ளி மாணவர்கள் இனி குளிர்பதன மின் பைக்கில் பயணம் செய்ய வேண்டும்.,School students must now travel by air-conditioned electric bikes.,Humor
இனி ரோபோ மாடல்கள் வீடுகளில் உணவு தயாரிக்கின்றன.,Robot models now prepare food at home.,Humor
தினசரி 5 நிமிடங்கள் யோகா செய்யும் பொழுது வேலை செய்யுங்கள்.,Work while doing yoga for 5 minutes daily.,Humor
புதிய அறிவிப்பு: மின்சார பார்க்களில் தினசரி நடை பயிற்சி கட்டாயம்.,New announcement: Daily walking exercise is mandatory in electric parks.,Humor
பொது மக்களுக்கு மின்சார குளிர்பதன வசதி வீட்டிற்கு கட்டாயம்.,Public must have electric air conditioning at home.,Humor
புதுமையான குளிர்பதன வசதி புது தொழில்நுட்ப மின்சார பேனல்களில் அடங்கும்.,Innovative air conditioning will be included in new technology electric panels.,Humor
குழந்தைகளுக்கு புதிய மின்சார விளையாட்டு சக்கரங்கள்.,New electric play wheels for children.,Humor
வீடுகளில் வேலை செய்யும் போது ரோபோ உதவிகள் பயன்படுத்தப்பட வேண்டும்.,Robot assistants must be used while doing household chores.,Humor
மழை காலத்தில் மின்சார குளிர்பதன வசதி கொண்ட பொது இடங்கள்.,Public places with electric air conditioning during the rainy season.,Humor
அலுவலகங்களில் தினசரி 10 நிமிடங்கள் காமிக்ஸ் வாசிக்க வேண்டும்.,Read comics for 10 minutes daily in offices.,Humor
புதிய அறிவிப்பு: பள்ளி மாணவர்களுக்கு குளிர்பதன மின்சார வாகனங்களில் பயணம் இலவசம்.,Free travel in air-conditioned electric vehicles for school students.,Humor
தொழில்நுட்ப வளர்ச்சி: ரோபோ சாப்பாட்டு முறை வீடுகளில் அறிமுகம் செய்யப்படும்.,Technological advancement: Robot cooking methods will be introduced in homes.,Humor
மின்சார சோபாக்களில் மழை நீர் சேகரிப்பு முறைகள்.,Rainwater harvesting systems in electric sofas.,Humor
பொது மக்களுக்கு மின்சார மழைக்குடைகள் வழங்கப்படும்.,Electric umbrellas will be provided to the public.,Humor
குளிர்பதன மின்சார பேனல்கள் வீடுகளில் பயன்படுத்தப்படும்.,Air-conditioned electric panels will be used in homes.,Humor
பள்ளி மாணவர்களுக்கு காமிக்ஸ் மூலம் பாடங்கள் கற்றுக்கொடுக்கப்படும்.,Lessons will be taught through comics to school students.,Humor
வீட்டில் வேலை செய்யும் போது தினசரி 5 நிமிடங்கள் யோகா செய்ய வேண்டும்.,Do yoga for 5 minutes daily while working at home.,Humor
புதிய அறிவிப்பு: அலுவலகங்களில் மின்சார சொறி சாதனங்கள் கட்டாயம்.,New announcement: Electric broom devices are mandatory in offices.,Humor
மழை காலத்தில் மின்சார குளிர்பதன வசதி கொண்ட பொது இடங்கள்.,Public places with electric air conditioning during the rainy season.,Humor
அலுவலக ஊழியர்கள் தினசரி 10 நிமிடங்கள் காமிக்ஸ் வாசிக்க வேண்டும்.,Office employees must read comics for 10 minutes daily.,Humor
பொது மக்களுக்கு மின்சார குளிர்பதன வசதி வீடுகளில் கட்டாயம்.,Public must have electric air conditioning at home.,Humor
பள்ளி மாணவர்கள் குளிர்பதன மின்சார வாகனங்களில் பயணம் செய்ய வேண்டும்.,School students must travel in air-conditioned electric vehicles.,Humor
தொழில்நுட்ப வளர்ச்சி: ரோபோ சாப்பாட்டு முறை வீடுகளில் அறிமுகம் செய்யப்படும்.,Technological advancement: Robot cooking methods will be introduced in homes.,Humor
மின்சார சோபாக்களில் மழை நீர் சேகரிப்பு முறைகள்.,Rainwater harvesting systems in electric sofas.,Humor
புதிய அறிவிப்பு: பொது மக்களுக்கு மின்சார மழைக்குடைகள் வழங்கப்படும்.,New announcement: Electric umbrellas will be provided to the public.,Humor
குளிர்பதன மின்சார பேனல்கள் வீடுகளில் பயன்படுத்தப்படும்.,Air-conditioned electric panels will be used in homes.,Humor
பள்ளி மாணவர்களுக்கு காமிக்ஸ் மூலம் பாடங்கள் கற்றுக்கொடுக்கப்படும்.,Lessons will be taught through comics to school students.,Humor
வீட்டில் வேலை செய்யும் போது தினசரி 5 நிமிடங்கள் யோகா செய்ய வேண்டும்.,Do yoga for 5 minutes daily while working at home.,Humor
புதிய அறிவிப்பு: அலுவலகங்களில் மின்சார சொறி சாதனங்கள் கட்டாயம்.,New announcement: Electric broom devices are mandatory in offices.,Humor
மழை காலத்தில் மின்சார குளிர்பதன வசதி கொண்ட பொது இடங்கள்.,Public places with electric air conditioning during the rainy season.,Humor
அலுவலக ஊழியர்கள் தினசரி 10 நிமிடங்கள் காமிக்ஸ் வாசிக்க வேண்டும்.,Office employees must read comics for 10 minutes daily.,Humor
பொது மக்களுக்கு மின்சார குளிர்பதன வசதி வீடுகளில் கட்டாயம்.,Public must have electric air conditioning at home.,Humor
பள்ளி மாணவர்கள் குளிர்பதன மின்சார வாகனங்களில் பயணம் செய்ய வேண்டும்.,School students must travel in air-conditioned electric vehicles.,Humor
தொழில்நுட்ப வளர்ச்சி: ரோபோ சாப்பாட்டு முறை வீடுகளில் அறிமுகம் செய்யப்படும்.,Technological advancement: Robot cooking methods will be introduced in homes.,Humor
மின்சார சோபாக்களில் மழை நீர் சேகரிப்பு முறைகள்.,Rainwater harvesting systems in electric sofas.,Humor
